"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"146","Today reminds us that progress might be slow. It might take decades. But no matter what things might look like toda… https://t.co/ly0o2d1R94",FALSE,746450,NA,2020-06-16 01:06:17,TRUE,NA,"1272696969899708417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",101915,FALSE,FALSE,NA,NA
"147","This young generation makes me optimistic about our future. By protesting, they’re speaking up and shining a light… https://t.co/lyetlwrzXA",FALSE,44171,"BarackObama",2020-06-11 18:30:59,TRUE,"1271147933178748933","1271147934608953345","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",5815,FALSE,FALSE,NA,NA
"148","In Columbia, Maryland, young people wielded social media to connect across boundaries, amplify voices, and enact so… https://t.co/n7ab06FEjw",FALSE,39954,"BarackObama",2020-06-11 18:30:58,TRUE,"1271147930460831751","1271147933178748933","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",5833,FALSE,FALSE,NA,NA
"149","This group of Nashville teens led a peaceful march with tens of thousands of people in their community. 
https://t.co/KWVsI0Z53E",FALSE,11451,"BarackObama",2020-06-11 18:30:58,FALSE,"1271147928841785344","1271147930460831751","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",2035,FALSE,FALSE,NA,NA
"150","Over the past few weeks, we’ve seen young people in every corner of the country step up and become leaders. Through… https://t.co/6RNGht3c9L",FALSE,159728,NA,2020-06-11 18:30:57,TRUE,NA,"1271147928841785344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",25538,FALSE,FALSE,NA,NA
"151","It’s too early to tell if it’s permanent, but the changes brought on by COVID-19 are forcing many of us to reflect… https://t.co/RLXqbE382n",FALSE,176168,NA,2020-06-10 15:10:15,TRUE,NA,"1270735032815095815",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",25209,FALSE,FALSE,NA,NA
"152","As has always been true at key moments in history, it’s going to depend on young people to go out there and rewrite… https://t.co/viFa6HM4xE",FALSE,193238,NA,2020-06-07 23:25:01,TRUE,NA,"1269772382509596677",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",29937,FALSE,FALSE,NA,NA
"153","We’ve seen the power that our voices have when we speak out about injustice––but we also know the toll that it take… https://t.co/ObdM8RkgEf",FALSE,123864,NA,2020-06-06 00:37:08,TRUE,NA,"1269065755179524096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",19737,FALSE,FALSE,NA,NA
"154","On National Gun Violence Awareness Day, we #WearOrange to honor the victims and survivors of gun violence––which co… https://t.co/cNV3OQ1knd",FALSE,277518,NA,2020-06-05 16:21:00,TRUE,NA,"1268940899616243715",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",40642,FALSE,FALSE,NA,NA
"155","Third, every city in this country should be a @MBK_Alliance community. We have 250 cities, counties, and tribal nat… https://t.co/ELtGDZNoZD",FALSE,33662,"BarackObama",2020-06-04 23:15:58,TRUE,"1268682938251710464","1268682939799425024","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",4996,FALSE,FALSE,NA,NA
"156","Second, every mayor should review their use of force policies with members of their community and commit to report… https://t.co/22stCoND3e",FALSE,42174,"BarackObama",2020-06-04 23:15:58,TRUE,"1268682936968241157","1268682938251710464","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",6412,FALSE,FALSE,NA,NA
"157","First, there are specific evidence-based reforms that would build trust, save lives, and lead to a decrease in crim… https://t.co/Y9NYL1AmEp",FALSE,29363,"BarackObama",2020-06-04 23:15:57,TRUE,"1268682936221609994","1268682936968241157","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",5192,FALSE,FALSE,NA,NA
"158","Real change requires protest to highlight a problem, and politics to implement practical solutions and laws. As I m… https://t.co/Yg1ta1Ky1n",FALSE,243201,NA,2020-06-04 23:15:57,TRUE,NA,"1268682936221609994",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",39829,FALSE,FALSE,NA,NA
"159","In our @MBK_Alliance town hall yesterday, I mentioned James Baldwin's The Fire Next Time. From 1962, it remains a s… https://t.co/ywCjOXeBU3",FALSE,87599,NA,2020-06-04 13:04:56,TRUE,NA,"1268529169702543360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",16246,FALSE,FALSE,NA,NA
"160","And third, an extraordinary essay by the former Chairman of the Joint Chiefs of Staff of the U.S. Armed Forces, Mik… https://t.co/JCBGWiKaAq",FALSE,57075,"BarackObama",2020-06-03 15:04:20,TRUE,"1268196826374647808","1268196828140503042","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",11806,FALSE,FALSE,NA,NA
"161","Second, a reminder of the difference politics and voting can make in changing who has the power to make real change… https://t.co/tnz7P3x0FG",FALSE,59573,"BarackObama",2020-06-03 15:04:20,TRUE,"1268196824575291393","1268196826374647808","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",10014,FALSE,FALSE,NA,NA
"162","Here’s a useful read––a reminder of the importance of de-escalation by police in their interactions with protestors… https://t.co/TCoDH04Zan",FALSE,153908,NA,2020-06-03 15:04:19,TRUE,NA,"1268196824575291393",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",33152,FALSE,FALSE,NA,NA
"163","""Let’s do this another way. Let's stop thinking our voice don’t matter and vote. Not just for the president...educa… https://t.co/VGoEJ3yauS",FALSE,662231,NA,2020-06-01 23:59:01,TRUE,NA,"1267606608953192449",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",155048,FALSE,FALSE,NA,NA
"164","Let’s get to work. https://t.co/jEczrOeFdv",FALSE,185886,"BarackObama",2020-06-01 19:11:51,FALSE,"1267534341678170112","1267534342869442561","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",35991,FALSE,FALSE,NA,NA
"165","I know the past few months have been hard and dispiriting. But watching the heightened activism of young people mak… https://t.co/9BnI4CgWk0",FALSE,240453,"BarackObama",2020-06-01 19:11:51,TRUE,"1267534340503846912","1267534341678170112","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",37700,FALSE,FALSE,NA,NA
"166","If you want to take concrete action, but you’re not sure how, we’ve created a site to connect you with useful resou… https://t.co/4YMMTGxakV",FALSE,167840,"BarackObama",2020-06-01 19:11:51,TRUE,"1267534339455287296","1267534340503846912","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",46227,FALSE,FALSE,NA,NA
"167","5. The more specific we can make demands for criminal justice and police reform, the harder it will be for elected… https://t.co/Wi0pBxRRm7",FALSE,110781,"BarackObama",2020-06-01 19:11:50,TRUE,"1267534338469568512","1267534339455287296","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",16680,FALSE,FALSE,NA,NA
"168","4. So if we want to bring about real change, the choice isn’t between protest and politics––we have to do both. We… https://t.co/qq1dawV1JF",FALSE,153290,"BarackObama",2020-06-01 19:11:50,TRUE,"1267534337442033668","1267534338469568512","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",27732,FALSE,FALSE,NA,NA
"169","3. To do that, we have to know which levels of government have the biggest impact. Changing the federal government… https://t.co/bCjdJWhoqy",FALSE,116908,"BarackObama",2020-06-01 19:11:50,TRUE,"1267534336410124296","1267534337442033668","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",17910,FALSE,FALSE,NA,NA
"170","2. The point of protest is to raise public awareness, to put a spotlight on injustice, and to make the powers that… https://t.co/PSbu6NO4Fk",FALSE,121409,"BarackObama",2020-06-01 19:11:50,TRUE,"1267534335340666895","1267534336410124296","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",18499,FALSE,FALSE,NA,NA
"171","1. The protests represent a genuine and legitimate frustration over a decades-long failure to reform police practic… https://t.co/WKpFr1vNcx",FALSE,142851,"BarackObama",2020-06-01 19:11:49,TRUE,"1267534334136856577","1267534335340666895","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",22896,FALSE,FALSE,NA,NA
"172","Ultimately, it’s going to be up to a new generation of activists to shape strategies that best fit the times. But I… https://t.co/SwIgqMXvKk",FALSE,119119,"BarackObama",2020-06-01 19:11:49,TRUE,"1267534333067382784","1267534334136856577","813286","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BarackObama",15620,FALSE,FALSE,NA,NA
